city,state_id,state_name
Olympian Village,MO,Missouri
Olyphant,PA,Pennsylvania
Omaha,NE,Nebraska
Omak,WA,Washington
Omao,HI,Hawaii
Omar,WV,West Virginia
Omega,GA,Georgia
Omena,MI,Michigan
Omer,MI,Michigan
Omro,WI,Wisconsin
On Top of the World Designated Place,FL,Florida
Ona,FL,Florida
Onaga,KS,Kansas
Onaka,SD,South Dakota
Onalaska,WI,Wisconsin
Onamia,MN,Minnesota
Onancock,VA,Virginia
Onarga,IL,Illinois
Onawa,IA,Iowa
Onaway,MI,Michigan
One Loudoun,VA,Virginia
Oneida,NY,New York
Oneida Castle,NY,New York
O'Neill,NE,Nebraska
Onekama,MI,Michigan
Oneonta,NY,New York
Ong,NE,Nebraska
Onida,SD,South Dakota
Onley,VA,Virginia
Ono,CA,California
Onset,MA,Massachusetts
Onslow,IA,Iowa
Onsted,MI,Michigan
Ontario,CA,California
Onton,KY,Kentucky
Ontonagon,MI,Michigan
Onward,IN,Indiana
Onycha,AL,Alabama
Onyx,CA,California
Oolitic,IN,Indiana
Oologah,OK,Oklahoma
Ooltewah,TN,Tennessee
Oostburg,WI,Wisconsin
Opal,VA,Virginia
Opa-locka,FL,Florida
Opdyke,IL,Illinois
Opdyke West,TX,Texas
Opelika,AL,Alabama
Opelousas,LA,Louisiana
Opheim,MT,Montana
Ophiem,IL,Illinois
Ophir,CO,Colorado
Opolis,KS,Kansas
Opp,AL,Alabama
Oppelo,AR,Arkansas
Optima,OK,Oklahoma
Oquawka,IL,Illinois
Ora,IN,Indiana
Oracle,AZ,Arizona
Oradell,NJ,New Jersey
Oral,SD,South Dakota
Oran,MO,Missouri
Orange,CA,California
Orange Beach,AL,Alabama
Orange Blossom,CA,California
Orange City,FL,Florida
Orange Cove,CA,California
Orange Grove,TX,Texas
Orange Lake,NY,New York
Orange Park,FL,Florida
Orangeburg,SC,South Carolina
Orangetree,FL,Florida
Orangevale,CA,California
Orangeville,UT,Utah
Orason,TX,Texas
Orbisonia,PA,Pennsylvania
Orchard,NE,Nebraska
Orchard City,CO,Colorado
Orchard Grass Hills,KY,Kentucky
Orchard Hill,GA,Georgia
Orchard Hills,PA,Pennsylvania
Orchard Homes,MT,Montana
Orchard Mesa,CO,Colorado
Orchards,WA,Washington
Orchid,FL,Florida
Orchidlands Estates,HI,Hawaii
Orcutt,CA,California
Ord,NE,Nebraska
Orderville,UT,Utah
Ordway,CO,Colorado
Ore City,TX,Texas
Ore Hill,PA,Pennsylvania
Oreana,IL,Illinois
Orebank,TN,Tennessee
Oregon,OR,Oregon
Oregon City,OR,Oregon
Oreland,PA,Pennsylvania
Orem,UT,Utah
Oreminea,PA,Pennsylvania
Orestes,IN,Indiana
Oretta,LA,Louisiana
Orfordville,WI,Wisconsin
Organ,NM,New Mexico
Orick,CA,California
Orient,NY,New York
Oriental,NC,North Carolina
Orin,WY,Wyoming
Orinda,CA,California
Oriole Beach,FL,Florida
Orion,IL,Illinois
Oriska,ND,North Dakota
Oriskany,NY,New York
Oriskany Falls,NY,New York
Orland,CA,California
Orland Colony,SD,South Dakota
Orland Hills,IL,Illinois
Orland Park,IL,Illinois
Orlando,FL,Florida
Orleans,IN,Indiana
Orlinda,TN,Tennessee
Orlovista,FL,Florida
Orme,TN,Tennessee
Ormond Beach,FL,Florida
Ormond-by-the-Sea,FL,Florida
Ormsby,MN,Minnesota
Oro Valley,AZ,Arizona
Orocovis,PR,Puerto Rico
Orofino,ID,Idaho
Orogrande,NM,New Mexico
Orono,MN,Minnesota
Oronoco,MN,Minnesota
Oronogo,MO,Missouri
Oronoque,CT,Connecticut
Orosi,CA,California
Orovada,NV,Nevada
Oroville,CA,California
Oroville East,CA,California
Orr,MN,Minnesota
Orrick,MO,Missouri
Orrin,ND,North Dakota
Orrstown,PA,Pennsylvania
Orrtanna,PA,Pennsylvania
Orrum,NC,North Carolina
Orrville,OH,Ohio
Orting,WA,Washington
Ortley,SD,South Dakota
Ortonville,MN,Minnesota
Orviston,PA,Pennsylvania
Orwell,OH,Ohio
Orwigsburg,PA,Pennsylvania
Orwin,PA,Pennsylvania
Osage,IA,Iowa
Osage Beach,MO,Missouri
Osage City,KS,Kansas
Osaka,VA,Virginia
Osakis,MN,Minnesota
Osawatomie,KS,Kansas
Osborn,MO,Missouri
Osborne,KS,Kansas
Osburn,ID,Idaho
Oscarville,AK,Alaska
Osceola,AR,Arkansas
Osceola Mills,PA,Pennsylvania
Osco,IL,Illinois
Oscoda,MI,Michigan
Osgood,IN,Indiana
Oshkosh,WI,Wisconsin
Osino,NV,Nevada
Oskaloosa,IA,Iowa
Oslo,MN,Minnesota
Osmond,WY,Wyoming
Osnabrock,ND,North Dakota
Oso,WA,Washington
Osprey,FL,Florida
Osseo,MN,Minnesota
Ossian,IN,Indiana
Ossineke,MI,Michigan
Ossipee,NC,North Carolina
Ossun,LA,Louisiana
Osterdock,IA,Iowa
Ostrander,OH,Ohio
Oswego,IL,Illinois
Osyka,MS,Mississippi
Othello,WA,Washington
Otho,IA,Iowa
Otis,CO,Colorado
Otis Orchards-East Farms,WA,Washington
Otisco,IN,Indiana
Otisville,NY,New York
Oto,IA,Iowa
Otoe,NE,Nebraska
Otranto,IA,Iowa
Otsego,MN,Minnesota
Ottawa,IL,Illinois
Ottawa Hills,OH,Ohio
Otter Creek,FL,Florida
Otter Lake,IN,Indiana
Otterbein,IN,Indiana
Ottertail,MN,Minnesota
Otterville,MO,Missouri
Ottosen,IA,Iowa
Ottoville,OH,Ohio
Ottumwa,IA,Iowa
Otway,OH,Ohio
Otwell,IN,Indiana
Our Town,AL,Alabama
Ouray,CO,Colorado
Outlook,WA,Washington
Ouzinkie,AK,Alaska
Oval,PA,Pennsylvania
Ovando,MT,Montana
Overbrook,KS,Kansas
Overland,MO,Missouri
Overland Park,KS,Kansas
Overlea,MD,Maryland
Overly,ND,North Dakota
Overton,TX,Texas
Ovett,MS,Mississippi
Ovid,MI,Michigan
Oviedo,FL,Florida
Ovilla,TX,Texas
Owaneco,IL,Illinois
Owasa,IA,Iowa
Owasso,OK,Oklahoma
Owatonna,MN,Minnesota
Owen,WI,Wisconsin
Owendale,MI,Michigan
Owens Cross Roads,AL,Alabama
Owensboro,KY,Kentucky
Owensburg,IN,Indiana
Owensville,MO,Missouri
Owenton,KY,Kentucky
Owings,MD,Maryland
Owings Mills,MD,Maryland
Owingsville,KY,Kentucky
Owl Creek,WY,Wyoming
Owl Ranch,TX,Texas
Owosso,MI,Michigan
Owyhee,NV,Nevada
Oxbow,ND,North Dakota
Oxbow Estates,AZ,Arizona
Oxford,MS,Mississippi
Oxford Junction,IA,Iowa
Oxly,MO,Missouri
Oxnard,CA,California
Oxoboxo River,CT,Connecticut
Oxon Hill,MD,Maryland
Oxville,IL,Illinois
Oyehut,WA,Washington
Oyens,IA,Iowa
Oyster Bay Cove,NY,New York
Oyster Creek,TX,Texas
Ozan,AR,Arkansas
Ozark,MO,Missouri
Ozark Acres,AR,Arkansas
Ozawkie,KS,Kansas
Ozona,TX,Texas
Ozone,AR,Arkansas
Ozora,MO,Missouri
Pájaros,PR,Puerto Rico
Paac Ciinak,WI,Wisconsin
Paa-Ko,NM,New Mexico
Paauilo,HI,Hawaii
Pabellones,PR,Puerto Rico
Pablo,MT,Montana
Pablo Pena,TX,Texas
Pace,FL,Florida
Pacheco,CA,California
Pachuta,MS,Mississippi
Pacific,MO,Missouri
Pacific Beach,WA,Washington
Pacific City,OR,Oregon
Pacific Grove,CA,California
Pacific Junction,IA,Iowa
Pacifica,CA,California
Packanack Lake,NJ,New Jersey
Packwaukee,WI,Wisconsin
Packwood,IA,Iowa
Pacolet,SC,South Carolina
Paddock Lake,WI,Wisconsin
Paden,OK,Oklahoma
Paden City,WV,West Virginia
Paderborn,IL,Illinois
Padre Ranchitos,AZ,Arizona
Padroni,CO,Colorado
Paducah,KY,Kentucky
Page,AZ,Arizona
Page Park,FL,Florida
Pagedale,MO,Missouri
Pageland,SC,South Carolina
Pageton,WV,West Virginia
Pagosa Springs,CO,Colorado
Paguate,NM,New Mexico
Pahala,HI,Hawaii
Pahoa,HI,Hawaii
Pahokee,FL,Florida
Pahrump,NV,Nevada
Paia,HI,Hawaii
Paige,TX,Texas
Paincourtville,LA,Louisiana
Painesdale,MI,Michigan
Painesville,OH,Ohio
Paint,PA,Pennsylvania
Paint Rock,TX,Texas
Painted Hills,IN,Indiana
Painted Post,NY,New York
Painter,VA,Virginia
Paintsville,KY,Kentucky
Paisano Park,TX,Texas
Paisley,FL,Florida
Pajarito Mesa,NM,New Mexico
Pajaro,CA,California
Pajaro Dunes,CA,California
Pajonal,PR,Puerto Rico
Pakala Village,HI,Hawaii
Pala,CA,California
Palacios,TX,Texas
Palatine,IL,Illinois
Palatine Bridge,NY,New York
Palatka,FL,Florida
Palco,KS,Kansas
Palenville,NY,New York
Palermo,CA,California
Palestine,TX,Texas
Palisade,CO,Colorado
Palisades,TX,Texas
Palisades Park,NJ,New Jersey
Palm Bay,FL,Florida
Palm Beach,FL,Florida
Palm Beach Gardens,FL,Florida
Palm Beach Shores,FL,Florida
Palm City,FL,Florida
Palm Coast,FL,Florida
Palm Desert,CA,California
Palm Harbor,FL,Florida
Palm River-Clair Mel,FL,Florida
Palm Shores,FL,Florida
Palm Springs,CA,California
Palm Springs North,FL,Florida
Palm Valley,FL,Florida
Palma Sola,PR,Puerto Rico
Palmarejo,PR,Puerto Rico
Palmas del Mar,PR,Puerto Rico
Palmdale,CA,California
Palmer,AK,Alaska
Palmer Heights,PA,Pennsylvania
Palmer Lake,CO,Colorado
Palmer Ranch,FL,Florida
Palmersville,TN,Tennessee
Palmerton,PA,Pennsylvania
Palmetto,FL,Florida
Palmetto Bay,FL,Florida
Palmetto Estates,FL,Florida
Palmhurst,TX,Texas
Palmona Park,FL,Florida
Palmview,TX,Texas
Palmview South,TX,Texas
Palmyra,PA,Pennsylvania
Palo,IA,Iowa
Palo Alto,CA,California
Palo Blanco,TX,Texas
Palo Cedro,CA,California
Palo Pinto,TX,Texas
Palo Seco,PR,Puerto Rico
Palo Verde,CA,California
Paloma,IL,Illinois
Paloma Creek,TX,Texas
Paloma Creek South,TX,Texas
Palomas,PR,Puerto Rico
Palominas,AZ,Arizona
Palos Heights,IL,Illinois
Palos Hills,IL,Illinois
Palos Park,IL,Illinois
Palos Verdes Estates,CA,California
Palouse,WA,Washington
Pamelia Center,NY,New York
Pampa,TX,Texas
Pamplico,SC,South Carolina
Pamplin City,VA,Virginia
Pana,IL,Illinois
Panaca,NV,Nevada
Panacea,FL,Florida
Panama,OK,Oklahoma
Panama City,FL,Florida
Panama City Beach,FL,Florida
Pancoastburg,OH,Ohio
Pandora,OH,Ohio
Pangburn,AR,Arkansas
Panguitch,UT,Utah
Panhandle,TX,Texas
Panola,OK,Oklahoma
Panora,IA,Iowa
Panorama Heights,CA,California
Panorama Park,IA,Iowa
Panorama Village,TX,Texas
Pantego,TX,Texas
Panther,KY,Kentucky
Panther Burn,MS,Mississippi
Panther Valley,NJ,New Jersey
Panthersville,GA,Georgia
Pantops,VA,Virginia
Paola,KS,Kansas
Paoli,PA,Pennsylvania
Paonia,CO,Colorado
Papaikou,HI,Hawaii
Papillion,NE,Nebraska
Papineau,IL,Illinois
Parachute,CO,Colorado
Paradis,LA,Louisiana
Paradise,NV,Nevada
Paradise Heights,FL,Florida
Paradise Hill,OK,Oklahoma
Paradise Hills,NM,New Mexico
Paradise Park,CA,California
Paradise Valley,AZ,Arizona
Paragon,IN,Indiana
Paragon Estates,CO,Colorado
Paragonah,UT,Utah
Paragould,AR,Arkansas
Paraje,NM,New Mexico
Paramount,CA,California
Paramount-Long Meadow,MD,Maryland
Paramus,NJ,New Jersey
Parc,NY,New York
Parcelas de Navarro,PR,Puerto Rico
Parcelas La Milagrosa,PR,Puerto Rico
Parcelas Mandry,PR,Puerto Rico
Parcelas Nuevas,PR,Puerto Rico
Parcelas Peñuelas,PR,Puerto Rico
Parcelas Viejas Borinquen,PR,Puerto Rico
Parchment,MI,Michigan
Parcoal,WV,West Virginia
Pardeesville,PA,Pennsylvania
Pardeeville,WI,Wisconsin
Paris,TX,Texas
Paris Crossing,IN,Indiana
Park,KS,Kansas
Park Center,CO,Colorado
Park City,UT,Utah
Park Crest,PA,Pennsylvania
Park Falls,WI,Wisconsin
Park Forest,IL,Illinois
Park Forest Village,PA,Pennsylvania
Park Hill,OK,Oklahoma
Park Hills,MO,Missouri
Park Layne,OH,Ohio
Park Rapids,MN,Minnesota
Park Ridge,IL,Illinois
Park River,ND,North Dakota
Park View,IA,Iowa
Parkdale,MI,Michigan
Parker,CO,Colorado
Parker City,IN,Indiana
Parker School,MT,Montana
Parker Strip,AZ,Arizona
Parkerfield,KS,Kansas
Parker's Crossroads,TN,Tennessee
Parkers Prairie,MN,Minnesota
Parkers Settlement,IN,Indiana
Parkersburg,WV,West Virginia
Parkerville,KS,Kansas
Parkesburg,PA,Pennsylvania
Parkin,AR,Arkansas
Parkland,WA,Washington
Parklawn,CA,California
Parkline,ID,Idaho
Parkman,WY,Wyoming
Parks,AZ,Arizona
Parksdale,CA,California
Parkside,PA,Pennsylvania
Parksley,VA,Virginia
Parkston,SD,South Dakota
Parksville,SC,South Carolina
Parkton,NC,North Carolina
Parkville,MD,Maryland
Parkway,CA,California
Parkway Village,KY,Kentucky
Parkwood,WA,Washington
Parlier,CA,California
Parma,OH,Ohio
Parma Heights,OH,Ohio
Parmele,NC,North Carolina
Parmelee,SD,South Dakota
Parnell,IA,Iowa
Parole,MD,Maryland
Parowan,UT,Utah
Parral,OH,Ohio
Parrish,AL,Alabama
Parrott,VA,Virginia
Parrottsville,TN,Tennessee
Parryville,PA,Pennsylvania
Parshall,ND,North Dakota
Parsippany,NJ,New Jersey
Parsons,KS,Kansas
Parsonsburg,MD,Maryland
Partridge,KS,Kansas
Pasadena,TX,Texas
Pasadena Hills,FL,Florida
Pasadena Park,MO,Missouri
Pasatiempo,CA,California
Pascagoula,MS,Mississippi
Pasco,WA,Washington
Pascoag,RI,Rhode Island
Pascola,MO,Missouri
Paskenta,CA,California
Pass Christian,MS,Mississippi
Passaic,NJ,New Jersey
Passapatanzy,VA,Virginia
Pastoria,VA,Virginia
Pastos,PR,Puerto Rico
Pastura,NM,New Mexico
Patagonia,AZ,Arizona
Pataha,WA,Washington
Pataskala,OH,Ohio
Patch Grove,WI,Wisconsin
Patchogue,NY,New York
Pateros,WA,Washington
Paterson,NJ,New Jersey
Pathfork,KY,Kentucky
Patillas,PR,Puerto Rico
Patmos,AR,Arkansas
Patoka,IN,Indiana
Paton,IA,Iowa
Patrick,SC,South Carolina
Patrick AFB,FL,Florida
Patrick Springs,VA,Virginia
Patricksburg,IN,Indiana
Patriot,IN,Indiana
Patten,ME,Maine
Patterson,CA,California
Patterson Heights,PA,Pennsylvania
Patterson Springs,NC,North Carolina
Patterson Tract,CA,California
Pattison,TX,Texas
Patton Village,TX,Texas
Pattonsburg,MO,Missouri
Paukaa,HI,Hawaii
Paul,ID,Idaho
Paul Smiths,NY,New York
Paulden,AZ,Arizona
Paulding,OH,Ohio
Paulina,LA,Louisiana
Pauline,SC,South Carolina
Paullina,IA,Iowa
Pauls Valley,OK,Oklahoma
Paulsboro,NJ,New Jersey
Pavillion,WY,Wyoming
Pavo,GA,Georgia
Paw Paw,MI,Michigan
Paw Paw Lake,MI,Michigan
Pawcatuck,CT,Connecticut
Pawhuska,OK,Oklahoma
Pawlet,VT,Vermont
Pawleys Island,SC,South Carolina
Pawnee,IL,Illinois
Pawnee City,NE,Nebraska
Pawnee Rock,KS,Kansas
Pawtucket,RI,Rhode Island
Pax,WV,West Virginia
Paxico,KS,Kansas
Paxson,AK,Alaska
Paxtang,PA,Pennsylvania
Paxton,IL,Illinois
Paxtonia,PA,Pennsylvania
Paxtonville,PA,Pennsylvania
Paxville,SC,South Carolina
Payette,ID,Idaho
Payne,OH,Ohio
Payne Gap,KY,Kentucky
Payne Springs,TX,Texas
Paynes Creek,CA,California
Paynesville,MN,Minnesota
Payneway,AR,Arkansas
Payson,UT,Utah
Pe Ell,WA,Washington
Pea Ridge,WV,West Virginia
Peña Blanca,NM,New Mexico
Peña Pobre,PR,Puerto Rico
Peñasco,NM,New Mexico
Peñuelas,PR,Puerto Rico
Peabody,MA,Massachusetts
Peaceful Valley,WA,Washington
Peaceful Village,MO,Missouri
Peach Creek,WV,West Virginia
Peach Lake,NY,New York
Peach Orchard,AR,Arkansas
Peach Springs,AZ,Arizona
Peacham,VT,Vermont
Peachland,NC,North Carolina
Peachtree City,GA,Georgia
Peachtree Corners,GA,Georgia
Peak,SC,South Carolina
Peak Place,NM,New Mexico
Pearcy,AR,Arkansas
Pearisburg,VA,Virginia
Pearl,MS,Mississippi
Pearl Beach,MI,Michigan
Pearl City,HI,Hawaii
Pearl Creek Colony,SD,South Dakota
Pearl River,NY,New York
Pearland,TX,Texas
Pearlington,MS,Mississippi
Pearsall,TX,Texas
Pearson,GA,Georgia
Pearsonville,CA,California
Pease,MN,Minnesota
Peavine,OK,Oklahoma
Pebble Creek,FL,Florida
Pecan Acres,TX,Texas
Pecan Gap,TX,Texas
Pecan Grove,TX,Texas
Pecan Hill,TX,Texas
Pecan Park,NM,New Mexico
Pecan Plantation,TX,Texas
Pecatonica,IL,Illinois
Peck,MI,Michigan
Peckham,OK,Oklahoma
Pecktonville,MD,Maryland
Peconic,NY,New York
Pecos,NM,New Mexico
Peculiar,MO,Missouri
Pedricktown,NJ,New Jersey
Pedro Bay,AK,Alaska
Peebles,OH,Ohio
Peekskill,NY,New York
Peeples Valley,AZ,Arizona
Peerless,MT,Montana
Peetz,CO,Colorado
Peever,SD,South Dakota
Peever Flats,SD,South Dakota
Peggs,OK,Oklahoma
Pegram,TN,Tennessee
Pekin,IL,Illinois
Pelahatchie,MS,Mississippi
Peletier,NC,North Carolina
Pelham,AL,Alabama
Pelham Manor,NY,New York
Pelican,AK,Alaska
Pelican Bay,FL,Florida
Pelican Marsh,FL,Florida
Pelican Rapids,MN,Minnesota
Pelion,SC,South Carolina
Pelkie,MI,Michigan
Pell City,AL,Alabama
Pella,IA,Iowa
Pellston,MI,Michigan
Pelzer,SC,South Carolina
Pemberton,MN,Minnesota
Pemberton Heights,NJ,New Jersey
Pemberville,OH,Ohio
Pemberwick,CT,Connecticut
Pembina,ND,North Dakota
Pembine,WI,Wisconsin
Pembroke,NC,North Carolina
Pembroke Park,FL,Florida
Pembroke Pines,FL,Florida
Pembrook Colony,SD,South Dakota
Pen Argyl,PA,Pennsylvania
Pen Mar,PA,Pennsylvania
Pena,TX,Texas
Penalosa,KS,Kansas
Penbrook,PA,Pennsylvania
Pence,IN,Indiana
Pencil Bluff,AR,Arkansas
Pender,NE,Nebraska
Pendergrass,GA,Georgia
Pendleton,OR,Oregon
Pendroy,MT,Montana
Penelope,TX,Texas
Penermon,MO,Missouri
Penfield,IL,Illinois
Penhook,VA,Virginia
Peninsula,OH,Ohio
Penitas,TX,Texas
Penn,PA,Pennsylvania
Penn Estates,PA,Pennsylvania
Penn Farms,PA,Pennsylvania
Penn Lake Park,PA,Pennsylvania
Penn State Berks,PA,Pennsylvania
Penn State Erie,PA,Pennsylvania
Penn Valley,CA,California
Penn Wynne,PA,Pennsylvania
Penn Yan,NY,New York
Penndel,PA,Pennsylvania
Penney Farms,FL,Florida
Penngrove,CA,California
Pennington,NJ,New Jersey
Pennington Gap,VA,Virginia
Pennock,MN,Minnesota
Penns Creek,PA,Pennsylvania
Penns Grove,NJ,New Jersey
Pennsboro,WV,West Virginia
Pennsburg,PA,Pennsylvania
Pennsbury Village,PA,Pennsylvania
Pennside,PA,Pennsylvania
Penntown,IN,Indiana
Pennville,PA,Pennsylvania
Pennwyn,PA,Pennsylvania
Penrose,CO,Colorado
Penryn,CA,California
Pensacola,FL,Florida
Pensacola Station,FL,Florida
Penton,AL,Alabama
Pentress,WV,West Virginia
Pentwater,MI,Michigan
Peoa,UT,Utah
Peoria,IL,Illinois
Peoria Heights,IL,Illinois
Peosta,IA,Iowa
Peotone,IL,Illinois
Pepeekeo,HI,Hawaii
Pepin,WI,Wisconsin
Pepper Pike,OH,Ohio
Pepperdine University,CA,California
Peppermill Village,MD,Maryland
Peppertown,IN,Indiana
Pequot Lakes,MN,Minnesota
Peralta,NM,New Mexico
Percival,IA,Iowa
Percy,IL,Illinois
Perdido,AL,Alabama
Perdido Beach,AL,Alabama
